name,pricing_type,min_charge,pricing_value,price_as_fabric,tier_formula,assembler_note,seamstress_note,embellisher_note,is_embellishment_option,is_interlining_option,parent_name,data
Trim - Inset Sides,l2,32,4,0,,,,,1,0,Trim,size_sides;inset_size_sides;
"Trim - Inset Sides, Bottom",l2w1,48,4,0,,,,,1,0,Trim,size_bottom;size_sides;inset_size_sides;inset_size_bottom;
"Trim - Inset Sides, Bottom, Top",l2w2,64,4,0,,,,,1,0,Trim,size_bottom;size_sides;size_top;inset_size_sides;inset_size_bottom;inset_size_top;
Trim - Sides,l2,32,4,0,,,,,1,0,Trim,size_sides;
"Trim - Sides, Bottom",l2w1,48,4,0,,,,,1,0,Trim,size_bottom;size_sides;
"Trim - Sides, Bottom, Top",l2w2,64,4,0,,,,,1,0,Trim,size_bottom;size_sides;size_top;
Attached Valance,w1,16,4,0,,Valance - Attached," Valance top pattern 3/4"" higher then shade top pattern",,0,0,Valance Application,
Cord Forward Valance,w1,16,4,0,,"Cord forward, shade back, valance front",,,0,0,Valance Application,
Top Down Bottom Up w/Valance,percent,37.8,0.35,0,,Top Down Bottom Up w/Valance,Top Down Bottom Up w/Valance,,0,0,Top Down Bottom Up,
TDBU/BU Valance,w1,16,4,0,,,,,0,0,Valance Application,
Velcro application,w1,8,2,0,,,,,0,0,Velcro,
Velcro Mount,w1,4,1,0,,,,,0,0,Velcro,
Welting - Bottom,w1,24,6,0,,,,,0,0,Welting,size_bottom;
Welting - Inset Bottom,w1,24,6,0,,,,,0,0,Welting,size_bottom;inset_size_bottom;
Welting - Inset Sides,l2,48,6,0,,,,,0,0,Welting,size_sides;inset_size_sides;
"Welting - Inset Sides, Bottom",l2w1,72,6,0,,,,,0,0,Welting,size_bottom;size_sides;inset_size_sides;inset_size_bottom;
"Welting - Inset Sides, Bottom, Top",l2w2,96,6,0,,,,,0,0,Welting,size_bottom;size_sides;size_top;inset_size_sides;inset_size_bottom;inset_size_top;
Welting - Sides,l2,48,6,0,,,,,0,0,Welting,size_sides;
"Welting - Sides, Bottom",l2w1,72,6,0,,,,,0,0,Welting,size_bottom;size_sides;
"Welting - Sides, Bottom, Top",l2w2,96,6,0,,,,,0,0,Welting,size_bottom;size_sides;size_top;
