name,pricing_type,min_charge,pricing_value,price_as_fabric,tier_formula,assembler_note,seamstress_note,embellisher_note,is_embellishment_option,is_interlining_option,parent_name,data
Batteries 8 - Pack (replacements),flat,30,30,0,,,,,0,0,Batteries,
Battery Reloadable Tube & 8 - Pack,flat,55,55,0,,,,,0,0,Batteries,
Bead Chain - Antique Brass,flat,6,6,0,,,,,0,0,Bead Chain,size;
Bead Chain - Brass,flat,6,6,0,,,,,0,0,Bead Chain,size;
Bead Chain - Bronze,flat,6,6,0,,,,,0,0,Bead Chain,size;
Bead Chain - Gold,flat,6,6,0,,,,,0,0,Bead Chain,size;
Bead Chain - Silver,flat,6,6,0,,,,,0,0,Bead Chain,size;
Bead Trim - Bottom,w1,16,4,0,,,,,0,0,Bead Trim,size_bottom;
Bead Trim - Inset Bottom,w1,16,4,0,,,,,0,0,Bead Trim,size_bottom;inset_size_bottom;
Bead Trim - Inset Sides,l2,16,4,0,,,,,0,0,Bead Trim,size_sides;inset_size_sides;
"Bead Trim - Inset Sides, Bottom",l2w1,16,4,0,,,,,0,0,Bead Trim,size_bottom;size_sides;inset_size_sides;inset_size_bottom;
"Bead Trim - Inset Sides, Bottom, Top",l2w2,16,4,0,,,,,0,0,Bead Trim,size_bottom;size_sides;size_top;inset_size_sides;inset_size_bottom;inset_size_top;
Bead Trim - Sides,l2,16,4,0,,,,,0,0,Bead Trim,size_sides;
"Bead Trim - Sides, Bottom",l2w1,16,4,0,,,,,0,0,Bead Trim,size_bottom;size_sides;
"Bead Trim - Sides, Bottom, Top",l2w2,16,4,0,,,,,0,0,Bead Trim,size_bottom;size_sides;size_top;
Blackout Fabric,yard,,9,1,,,,,0,0,Blackout,
Blackout Fabric and Application,yard,,14,1,,,Blackout Application,,0,0,Blackout,
Blackout Strips,sqft,18,1.5,0,,Blackout Strips,,,0,0,Blackout,
Button Applied,flat,,1,0,,,,,0,0,Button,size;
Button Made and Applied,flat,,3.5,0,,,,,0,0,Button,size;
Antique Brass Cleat,flat,,2,0,,,,,0,0,Cleat,
Brass Cleat,flat,,2,0,,,,,0,0,Cleat,
Concaved,percent,,0.35,0,,,,,0,0,Concave,
Continuous Cord (sub),tier,,,0,a:4:{i:72;d:60;i:108;d:85;i:144;d:110;i:9999;d:135;},,,,0,0,Continuous Cord,
Continuous Cord - TD/BU,tier,,,0,a:3:{i:72;d:100;i:144;d:150;i:9999;d:250;},,,,0,0,Continuous Cord,
Cording - Bottom,w1,,5,0,,,,,0,0,Cording,size_bottom;
Cording - Inset Bottom,w1,,5,0,,,,,0,0,Cording,size_bottom;inset_size_bottom;
Cording - Inset Sides,l2,,5,0,,,,,0,0,Cording,size_sides;inset_size_sides;
"Cording - Inset Sides, Bottom",l2w1,,5,0,,,,,0,0,Cording,size_bottom;size_sides;inset_size_sides;inset_size_bottom;
"Cording - Inset Sides, Bottom, Top",l2w2,,5,0,,,,,0,0,Cording,size_bottom;size_sides;size_top;inset_size_sides;inset_size_bottom;inset_size_top;
Cording - Sides,l2,,5,0,,,,,0,0,Cording,size_sides;
"Cording - Sides, Bottom",l2w1,,5,0,,,,,0,0,Cording,size_bottom;size_sides;
"Cording - Sides, Bottom, Top",l2w2,,5,0,,,,,0,0,Cording,size_bottom;size_sides;size_top;
Cordless Hardware over 60,flat,,75,0,,Cordless Needs Center Support,,,0,0,Cordless Hardware,
Cordless Hardware under 60,flat,,50,0,,,,,0,0,Cordless Hardware,
Cutout (Drape),percent,,0.4,0,,,,,0,0,Cutout,size;
Cutout (Headerboard),flat,,15,0,,,,,0,0,Cutout,size;
