tShadeName,Pricing_Type,nShadePrice,CutLengthAddInches_inv,CutLengthFormula,DefaultPanelSpacing,HeightPoufAdjustment,HeightRodAdjustment,nHeaderboardIn,nHeaderboardOut,nLengthMultiply,nLengthMultiply_inv,nLengthPlus,nLengthPlus_inv,nOuterRings,nOuterRingsDivisor,nPoufAdjustment_inv,nPricePlusPercentage,nWidthMultiply,nWidthMultiply_inv,nWidthPlus,nWidthPlus_inv,poufy,RingRowMinimum,RodDeduction,RodType,Shade_Type,shadeShape,TDBU Clutch Deduction,TDBU Cord Lock Deduction,TDBU Motorized Deduction,tRingOrGrommet,tSideHemType,tTakeLining,tTakeReturn,Valance_Price,ValanceMinimum,is_tdbu,PanelPoufAdjustment,PanelRodAdjustment,WidthPlusInterlining
Back Slat BU,Square Feet,11.7,25,L + Spaces x 2,,,,,0.125,,1.75,,,1.5,38,,0.3,,,5,5,,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,,Yes,,,
Single Tuk TD/BU,Square Feet,12.15,25,L + Spaces x 2,,,,0.125,0.125,1.75,1.75,,,1.5,15,,0.35,,,5,5,,3,,,Shade,Square,3.25,2.25,5,Silver Grommet,2,Yes,No,,,Yes,,,
Single Tuk BU,Square Feet,11.7,25,L + Spaces x 2,,,,0.125,0.125,,1.75,,,1.5,15,,0.3,1.5,,,5,,3,,,Shade,Square,3.25,2.25,5,Silver Grommet,2,Yes,No,,,Yes,,,
Casual BU-o,Square Feet,11.05,25,FH + Board,,,,0.125,0.125,,,28,15,1,15,,0.3,,,5,5,,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,,Yes,,,
Custom Line Item,Square Feet,0,,,,,,,,,,,,1,1,,,,,,,,0,,,Shade,Square,,,,,,,,,,,,,
Balloon Royale,Square Feet,15,,FH + Board,,27,32,0.125,0,,,,30,0,16.875,,,3.5,3.5,,,Yes,0,,,Shade,Balloon,,,,Brass Ring,1,Yes,No,,,,5,6,
"Flat Valance -Max drop 6"" ",Linear Foot,5,,,,,,,,3,3,,,1,1,,,,,5,5,,0,,,Valance,Square,,,,,,,,5,5,,,,
Double Tuk TD/BU,Square Feet,15.2,25,L + Spaces x 4,,,,0.125,0.125,,2,,,1.5,15,,,,,10,10,,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,,Yes,,,
Deco Fold BU,Square Feet,14.64,49,Spaces x PS,,,,0.125,0.125,,2,,,1.5,38,,0.3,,,5,5,,3,,,Shade,Square,3.25,2.25,5,Brass Ring,1.5,Yes,No,,,Yes,,,
Deco Fold TD/BU,Square Feet,15.2,49,Spaces x PS,,,,0.125,0.125,,2,,,1.5,38,,0.3,,,5,5,,3,,,Shade,Square,3.25,2.25,5,Brass Ring,1.5,Yes,No,,,Yes,,,
Special Order,Square Feet,0,,,,,,,,,,,,1,1,,,,,,,,0,,,Shade,,,,,,,,,,,,,,
Dog Ear - Gathered,Square Feet,10,,FH + Board,,22,27,0.125,0,,,,30,1,1,,0.35,2,2,,,Yes,2,,,Shade,Dog Ear,,,,Brass Ring,1,Yes,Yes,,,,4,5,
Pltd.Soft Casual w/Tails-o,Square Feet,9,,FH + Board,,17,22,0.125,0,,,30,30,1,1,,,1.35,1.35,,,Yes,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,,,3,4,
Dog Ear Valance,Linear Foot,10,,FH + Board,,22,27,0.125,0,,,,30,1,1,,0.35,1.5,2,,,Yes,2,,,Valance,Dog Ear,,,,Brass Ring,1,Yes,Yes,30,4,,4,5,
Cloud Valance,Linear Foot,11.26,,FH + Board,,27,32,0.125,0,,,,30,0,12,,,3,3,,,Yes,0,,,Valance,SCloud,,,,Brass Ring,1,Yes,Yes,35,4,,5,6,
Cloud w/4 Cord Shirring,Square Feet,11.26,,FH + Board,,27,32,0.125,0,,,,30,0,12,,,3,3,,,Yes,0,,,Shade,SCloud,,,,Brass Ring,1,Yes,Yes,,,,5,6,
"Box Pltd. Valance(up to12"")",Linear Foot,8,,,,,,,,3,3,,,1,1,,,,,20,17,,0,,,Valance,Square,,,,,,,,9,5,,,,
Triple Tuk TD/BU,Square Feet,16.88,,FH + Board,,,,0.125,0.125,,,,,1.5,15,,,,,10,,,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,,Yes,,,
Triple Tuk BU,Square Feet,16.25,,FH + Board,,,,0.125,0.125,,,,,1.5,15,,,,2.5,10,10,,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,,Yes,,,
"Box Pltd. Valance(up to 24"")",Linear Foot,8,,,,,,,,3,3,,,1,1,,,,,20,17,,0,,,Valance,Square,,,,,,,,11,5,,,,
"Box Pltd. Valance(up to18"")",Linear Foot,8,,,,,,,,3,3,,,1,1,,,,,20,17,,0,,,Valance,Square,,,,,,,,10,5,,,,
"Box Pltd. Valance(up to 6"")",Linear Foot,8,,,,,,,,3,3,,,1,1,,,,,20,17,no,0,,,Valance,Square,,,,,,,,8,5,,,,
"Valance - 12"" Straight",Linear Foot,4,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,6,5,,,,
Smocked Cloud,Square Feet,11.26,,FH + Board,,27,32,0.125,0,,,,30,0,12,,,3,3,,,Yes,0,,,Shade,SCloud,,,,Brass Ring,1,Yes,Yes,,,,5,6,
Balloon Valance,Square Feet,11.26,,FH + Board,,27,32,0.125,0,,,,30,0,16.875,,,2.5,2.5,,,Yes,0,,,Valance,Balloon,,,,Brass Ring,1,Yes,No,35,4,,5,6,
Casual with Tails Valance-o,Square Feet,8.5,,FH + Board,,17,22,0.125,0,,,,30,1,1,,,,,8,10,Yes,2,,,Valance,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,4,,3,4,
Soft Casual Valance-o,Square Feet,8.5,,FH + Board,,17,22,0.125,0,,,,30,1,38,,,,,8,10,Yes,2,,,Valance,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,4,,3,4,
Soft Fold Valance,Linear Foot,10,24,Spaces x PS,,,,0.125,0.125,,2,,,1.5,15,,,,,5,5,no,0,1,Round Plastic,Valance,Square,,,,White Ring,1,Yes,Yes,28,4,,,,
"Flat Valance - Max drop 24"" ",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,8,5,,,,
"Flat Valance -Max drop 12"" ",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,6,5,,,,
"Flat Valance -Max drop 18"" ",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,7,5,,,,
Deco Fold Valance,Square Feet,11.26,15,Spaces x PS,,,,0.125,0.125,,2,,,1.5,15,,,,,5,5,no,0,,,Valance,Square,,,,Brass Ring,1.5,Yes,Yes,32.5,4,,,,
Stagecoach Valance,Square Feet,0,30,Spaces x PS,,,,0.125,0.125,2.5,2,,,1.5,15,,,,,5,5,no,0,,,Valance,Square,,,,White Ring,1,Yes,No,26,4,,,,
Double Tuk - BU,Square Feet,14.64,25,L + Spaces x 4,,,,0.125,0.125,,2,,,1.5,15,,,,,10,10,no,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,,,,,
Pole Cloud Valance,Linear Foot,11.26,,FH + Board,,27,32,0.125,0,,,,30,0,12,,,3,3,,,no,0,,,Valance,SCloud,,,,Brass Ring,1,Yes,Yes,35,4,,,,
Pinch Pleated Panel,Flat Fee,8,,FH + Board,,,,0.125,0.125,,,,,1,12,,,,,5,,no,0,,,Valance,Square,,,,Brass Ring,1,Yes,No,98,,,,,
Quadruple Tuk,Square Feet,12,,L + Spaces x 6,,,,0.125,0.125,,,,,1.5,15,,,,,10,,no,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,,,,,
Fan Pleated Casual-o,Square Feet,9,,FH + Board,,17,22,0.125,0,,,30,30,1,1,,,,,12,12,no,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,,,,,
"Flat Valance -Max drop 12""(not Selflined) ",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,9,5,,,,
"Flat Valance -Max drop 18"" (not Selflined)",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,10,5,,,,
"Flat Valance - Max drop 24"" (not Selflined)",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,11,5,,,,
"Box Pltd. Valance(up to 12"") (not Selflined)",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,20,17,no,0,,,Valance,Square,,,,,,,,12,5,,,,
"Box Pltd. Valance(up to 18"") (not Selflined)",Linear Foot,8,,,,,,,,3,3,,,1,1,,,,,20,17,no,0,,,Valance,Square,,,,,,,,13,5,,,,
"Box Pltd. Valance(up to 24"") (not Selflined)",Linear Foot,8,,,,,,,,3,3,,,1,1,,,,,20,17,no,0,,,Valance,Square,,,,,,,,14,5,,,,
"Scalloped Valance (up to6"")",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,22,5,,,,
"Scalloped Valance (up to12"")",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,24,5,,,,
"Scalloped Valance (up to18"")",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,25,5,,,,
"Scalloped Valance (up to24"")",Linear Foot,0,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,26,5,,,,
"Flat Valance -Max drop 6"" ",Linear Foot,5,,,,,,,,3,3,,,1,1,,,,,5,5,no,0,,,Valance,Square,,,,,,,,5,5,,,,
Gathered Soft Casual-o,Square Feet,9,,FH + Board,,17,22,0.125,0,,,,30,1,1,,,1.5,1.5,,,Yes,0,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01,,3,4,
"Cornice - under 5.5"" Depth",Linear Foot,28,,FH + Board,,,,0.125,0,,,15,15,1,1,,,10,10,,,no,0,,,Shade,Square,,,,,1,Yes,Yes,28,,,,,
"Pillow - Bolster Flat  Edge  7"" x 20"" ",Flat Fee,85,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,,,,,,,Yes,,,,,,,
"Pillow - Bolster Gathered  Edge  7"" x 20""",Flat Fee,85,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,,,,,,,Yes,,,,,,,
"Pillow - Flanged Edge up to 24""",Flat Fee,75,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
"Pillow - Flanged Edge up to 36""",Flat Fee,85,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
"Pillow - Soft Edge up to 36""",Flat Fee,85,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
"Pillow - Soft Edge up to 24""",Flat Fee,75,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
"Pillow - Knife Edge up to 24""",Flat Fee,60,,FH + Board,,,,,,,,,,1,1,,0,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
"Pillow - Knife Edge up to 36""",Flat Fee,75,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
"Pillow - Grid Face up to 36""",Flat Fee,120,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
"Pillow - Grid Face up to 24""",Flat Fee,100,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
