"RM-Back Slat (SH002)","Square Feet","9"
"RM-Dog Ear (SH011/8.00)","Square Feet","10"
"Casual","Square Feet","8.6"
"Casual BU w/Valance","Square Feet","11.18"
"Casual BU - NO Valance","Square Feet","10.75"
"Casual TD/BU w/Valance","Square Feet","11.61"
"Casual TD/BU - NO Valance","Square Feet","11.18"
"Soft Casual","Square Feet","8.6"
"Casual with Tails","Square Feet","8.6"
"Pltd. Soft Casual","Square Feet","9"
"Gathered Casual","Square Feet","9"
