"A","54","Face Fabric","11"
"G4","72","Face Fabric","31"
"Commodore","54","Face Fabric",""
"Tahoe","54","Face Fabric ","18"
"Vesuvius","54","Facs Fabric","36"
"Stock","54","Lining Fabric","15"
"Interlining","54","Other Fabric","5.5"
