,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BEST-LINE NAME,BEST-LINE COLOR,FABRIC BOOK & ROTATION,PRICE GRADE,WIDTH/ REPEAT,VENDOR,VENDOR NAME,VENDOR COLOR,CUT PRICE     (BL pays per yard),PIECE PRICE    (BL pays per yard),WHOLESALE PRICE (BL charges per yard),SWATCH,,,,,
Horizon,Chambray,SKY          31,B,54/          V-15        H-13.5,Trend,02606,Denim,$12.95,,$28.25,,,,,,
Horizon,Denim,SKY           24,B,54/          V-15        H-13.5,Trend,02606,Indigo,$12.95,,$28.25,,,,,,
Horizon,Heather,SKY           1,B,54/          V-15        H-13.5,Trend,02606,Dove Gray,$12.95,,$28.25,,,,,,
Jupiter,Coin,SKY          4,B,54/0,Fabricut,Mulan,Ginger,$12.65,,$28.25,,,,,,
Keira,Beach,SKY           39,A,55/0,Trend,02400,Beach,$10.00,,$22.00,,,,,,
Keira,Brown,EARTH 2               70,A,55/0,Trend,02400,Driftwood,$10.00,,$22.00,,,,,,
Keira,Cloud,EARTH 2             14,A,55/0,Trend,02400,Ivory,$10.00,,$22.00,,,,,,
Keira,Cognac,SKY                8,A,55/0,Trend,02400,Cognac,$10.00,,$22.00,,,,,,
Keira,Linen,EARTH 2              23,A,55/0,Trend,02400,Natural,$10.00,,$22.00,,,,,,
Keira,Midas,SKY               11,A,55/0,Trend,02400,Midas,$10.00,,$22.00,,,,,,
Keira,Toast,EARTH 2              78,A,55/0,Trend,02400,Flax,$10.00,,$22.00,,,,,,
Kenya,Ice,EARTH 2               7,B,54/0,Fabricut,Strength,White,$12.65,,$28.25,,,,,,
Koa,Bark,Wood,T,72/0,Newcastle,Bombay,WS 901,,$24.67,$54.00,,,,,,
Koa,Java,Wood,T,72/0,Newcastle,Bombay,WS 900,,$24.67,$54.00,,,,,,
Lassen,Flax,EARTH 2           79,B,54/0,Fabricut,Cassis,Natural,$13.95,,$28.25,,,,,,
Logan,Frost,EARTH 2           83,B,54/0,Fabricut,Plaza,Raffia,$13.95,,$28.25,,,,,,
