shade_name,pricing_type,shade_price,cut_length_add_inches_invoice,cut_length_formula,default_panel_spacing,pouf_height_adjustment,rod_height_adjustment,headerboard_deduction_if_in,headerboard_deduction_if_out,length_multiplier,length_multipler_invoice,length_plus,length_plus_invoic,outer_rings,outer_rings_divsor,pouf_adjustment_invoice,add_percentage_to_price,width_multiplier,width_multiplier_invoice,width_plus,width_plus_invoic,is_pouf,ring_row_minimum ,rod_deduction,rod_type,shade_type,shade_shape,tdbu_clutch_deduction,tdbu_cord_lock_deduction,tdbu_motorized_deduction,ring_hardware,side_hem_width,take_lining,take_return,valance_price,valance_minimum_charge
"
",Square Feet,11.48,25,FH + Board,,,,.125,.125,,,,15,1,12,,0.35,,,5,5,,,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Casual BU-o,Square Feet,11.05,25,FH + Board,,,,.125,.125,,,28,15,1,15,,0.3,,,5,5,,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Custom Line Item,Square Feet,,,,,,,,,,,,,,,,,,,,,,,,,Shade,Square,,,,,,,,,
Balloon Royale,Square Feet,15,,FH + Board,,27,32,.125,0,,,,30,0,16.875,,,3.5,3.5,,,Yes,,,,Shade,Balloon,,,,Brass Ring,1,Yes,No,,
"Flat Valance -Max drop 6"" ",Linear Foot,5,,,,,,,,3,3,,,,,,,,,5,5,,,,,Valance,Square,,,,,,,,5,5
Double Tuk TD/BU,Square Feet,15.2,25,L + Spaces x 4,,,,.125,.125,,2,,,1.5,15,,,,,10,10,,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,
Deco Fold BU,Square Feet,14.64,49,Spaces x PS,,,,.125,.125,,2,,,1.5,38,,0.3,,,5,5,,3,,,Shade,Square,3.25,2.25,5,Brass Ring,1.5,Yes,No,,
Deco Fold TD/BU,Square Feet,15.2,49,Spaces x PS,,,,.125,.125,,2,,,1.5,38,,0.3,,,5,5,,3,,,Shade,Square,3.25,2.25,5,Brass Ring,1.5,Yes,No,,
Special Order,Square Feet,,,,,,,,,,,,,,,,,,,,,,,,,Shade,,,,,,,,,,
Dog Ear - Gathered,Square Feet,10,,FH + Board,,22,27,.125,0,,,,30,,,,0.35,2,2,,,Yes,2,,,Shade,Dog Ear,,,,Brass Ring,1,Yes,Yes,,
Pltd.Soft Casual w/Tails-o,Square Feet,9,,FH + Board,,17,22,.125,0,,,30,30,1,,,,1.35,1.35,,,Yes,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,
Dog Ear Valance,Linear Foot,10,,FH + Board,,22,27,.125,0,,,,30,,,,0.35,1.5,2,,,Yes,2,,,Valance,Dog Ear,,,,Brass Ring,1,Yes,Yes,30,4
Cloud Valance,Linear Foot,11.26,,FH + Board,,27,32,.125,0,,,,30,0,12,,,3,3,,,Yes,,,,Valance,SCloud,,,,Brass Ring,1,Yes,Yes,35,4
Cloud w/4 Cord Shirring,Square Feet,11.26,,FH + Board,,27,32,.125,0,,,,30,0,12,,,3,3,,,Yes,,,,Shade,SCloud,,,,Brass Ring,1,Yes,Yes,,
"Box Pltd. Valance(up to12"")",Linear Foot,8,,,,,,,,3,3,,,,,,,,,20,17,,,,,Valance,Square,,,,,,,,9,5
Triple Tuk TD/BU,Square Feet,16.88,,FH + Board,,,,.125,.125,,,,,1.5,15,,,,,10,,,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,
Triple Tuk BU,Square Feet,16.25,,FH + Board,,,,.125,.125,,,,,1.5,15,,,,2.5,10,10,,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,
"Box Pltd. Valance(up to 24"")",Linear Foot,8,,,,,,,,3,3,,,,,,,,,20,17,,,,,Valance,Square,,,,,,,,11,5
"Box Pltd. Valance(up to18"")",Linear Foot,8,,,,,,,,3,3,,,,,,,,,20,17,,,,,Valance,Square,,,,,,,,10,5
"Box Pltd. Valance(up to 6"")",Linear Foot,8,,,,,,,,3,3,,,,,,,,,20,17,no,,,,Valance,Square,,,,,,,,8,5
"Valance - 12"" Straight",Linear Foot,4,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,6,5
Smocked Cloud,Square Feet,11.26,,FH + Board,,27,32,.125,0,,,,30,0,12,,,3,3,,,Yes,,,,Shade,SCloud,,,,Brass Ring,1,Yes,Yes,,
Balloon Valance,Square Feet,11.26,,FH + Board,,27,32,.125,0,,,,30,0,16.875,,,2.5,2.5,,,Yes,,,,Valance,Balloon,,,,Brass Ring,1,Yes,No,35,4
Casual with Tails Valance-o,Square Feet,8.5,,FH + Board,,17,22,.125,0,,,,30,1,,,,,,8,10,Yes,2,,,Valance,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,4
Soft Casual Valance-o,Square Feet,8.5,,FH + Board,,17,22,.125,0,,,,30,1,38,,,,,8,10,Yes,2,,,Valance,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,4
Soft Fold Valance,Linear Foot,10,24,Spaces x PS,,,,.125,.125,,2,,,1.5,15,,,,,5,5,no,,1,Round Plastic,Valance,Square,,,,White Ring,1,Yes,Yes,28,4
"Flat Valance - Max drop 24"" ",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,8,5
"Flat Valance -Max drop 12"" ",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,6,5
"Flat Valance -Max drop 18"" ",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,7,5
Deco Fold Valance,Square Feet,11.26,15,Spaces x PS,,,,.125,.125,,2,,,1.5,15,,,,,5,5,no,,,,Valance,Square,,,,Brass Ring,1.5,Yes,Yes,32.5,4
Stagecoach Valance,Square Feet,,30,Spaces x PS,,,,.125,.125,2.5,2,,,1.5,15,,,,,5,5,no,,,,Valance,Square,,,,White Ring,1,Yes,No,26,4
Double Tuk - BU,Square Feet,14.64,25,L + Spaces x 4,,,,.125,.125,,2,,,1.5,15,,,,,10,10,no,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,
Pole Cloud Valance,Linear Foot,11.26,,FH + Board,,27,32,.125,0,,,,30,0,12,,,3,3,,,no,,,,Valance,SCloud,,,,Brass Ring,1,Yes,Yes,35,4
Pinch Pleated Panel,Flat Fee,8,,FH + Board,,,,.125,.125,,,,,1,12,,,,,5,,no,,,,Valance,Square,,,,Brass Ring,1,Yes,No,98,
"Quadruple Tuk
",Square Feet,12,,L + Spaces x 6,,,,.125,.125,,,,,1.5,15,,,,,10,,no,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,
Fan Pleated Casual-o,Square Feet,9,,FH + Board,,17,22,.125,0,,,30,30,1,,,,,,12,12,no,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,
"Flat Valance -Max drop 12""(not Selflined) ",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,9,5
"Flat Valance -Max drop 18"" (not Selflined)",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,10,5
"Flat Valance - Max drop 24"" (not Selflined)",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,11,5
"Box Pltd. Valance(up to 12"") (not Selflined)",Linear Foot,,,,,,,,,3,3,,,,,,,,,20,17,no,,,,Valance,Square,,,,,,,,12,5
"Box Pltd. Valance(up to 18"") (not Selflined)",Linear Foot,8,,,,,,,,3,3,,,,,,,,,20,17,no,,,,Valance,Square,,,,,,,,13,5
"Box Pltd. Valance(up to 24"") (not Selflined)",Linear Foot,8,,,,,,,,3,3,,,,,,,,,20,17,no,,,,Valance,Square,,,,,,,,14,5
"Scalloped Valance (up to6"")",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,22,5
"Scalloped Valance (up to12"")",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,24,5
"Scalloped Valance (up to18"")",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,25,5
"Scalloped Valance (up to24"")",Linear Foot,,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,26,5
"Flat Valance -Max drop 6"" ",Linear Foot,5,,,,,,,,3,3,,,,,,,,,5,5,no,,,,Valance,Square,,,,,,,,5,5
Gathered Soft Casual-o,Square Feet,9,,FH + Board,,17,22,.125,0,,,,30,1,,,,1.5,1.5,,,Yes,,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01
"Cornice - under 5.5"" Depth",Linear Foot,28,,FH + Board,,,,.125,0,,,15,15,1,,,,10,10,,,no,,,,Shade,Square,,,,,1,Yes,Yes,28,
